"","Subject","Level","Block","Trial","Condition","TrialType","EventType","EventTime","SoundID","AnimationID","MovDir","Congruency","Response","Correctness"
"193",16,1,7,NA,"1",1,2,250.7383,3,NA,NA,NA,NA,NA
"194",16,1,7,NA,"1",1,2,252.0073,4,NA,NA,NA,NA,NA
"195",16,1,7,NA,"1",1,1,253.0451,NA,NA,NA,NA,NA,NA
"196",16,1,7,1,"1",2,1,254.064,NA,NA,NA,NA,NA,NA
"197",16,1,7,1,"1",2,3,255.0794,4,24,8,0,NA,NA
"198",16,1,7,1,"1",2,1,255.0815,NA,NA,NA,NA,NA,NA
"199",16,1,7,1,"1",2,4,256.9761,4,24,8,0,0,TRUE
"200",16,1,7,2,"1",2,1,257.5886,NA,NA,NA,NA,NA,NA
"201",16,1,7,2,"1",2,3,258.6028,8,39,3,0,NA,NA
"202",16,1,7,2,"1",2,1,258.6063,NA,NA,NA,NA,NA,NA
"203",16,1,7,2,"1",2,4,260.2912,8,39,3,0,0,TRUE
"204",16,1,7,3,"1",2,1,261.1119,NA,NA,NA,NA,NA,NA
"205",16,1,7,3,"1",2,3,262.1256,2,21,2,1,NA,NA
"206",16,1,7,3,"1",2,1,262.1277,NA,NA,NA,NA,NA,NA
"207",16,1,7,3,"1",2,4,264.2196,2,21,2,1,1,TRUE
"208",16,1,NA,NA,"1",NA,1,2.313432,NA,NA,NA,NA,NA,NA
"209",16,1,1,NA,"1",1,1,5.795854,NA,NA,NA,NA,NA,NA
"210",16,1,1,NA,"1",1,2,9.936836,2,NA,NA,NA,NA,NA
"211",16,1,1,NA,"1",1,2,11.62315,6,NA,NA,NA,NA,NA
"212",16,1,1,NA,"1",1,2,11.6411,3,NA,NA,NA,NA,NA
"213",16,1,1,NA,"1",1,2,13.04293,2,NA,NA,NA,NA,NA
"214",16,1,1,NA,"1",1,2,14.41192,1,NA,NA,NA,NA,NA
"215",16,1,1,NA,"1",1,2,15.84757,2,NA,NA,NA,NA,NA
"216",16,1,1,NA,"1",1,2,17.16654,1,NA,NA,NA,NA,NA
"217",16,1,1,NA,"1",1,2,21.80835,1,NA,NA,NA,NA,NA
"218",16,1,1,NA,"1",1,2,22.74332,2,NA,NA,NA,NA,NA
"219",16,1,1,NA,"1",1,2,23.92883,1,NA,NA,NA,NA,NA
"220",16,1,1,NA,"1",1,2,24.73066,2,NA,NA,NA,NA,NA
"221",16,1,1,NA,"1",1,2,25.78247,4,NA,NA,NA,NA,NA
"222",16,1,1,NA,"1",1,1,25.81542,NA,NA,NA,NA,NA,NA
"223",16,1,1,NA,"1",2,1,26.31931,NA,NA,NA,NA,NA,NA
"224",16,1,1,1,"1",2,3,27.33487,4,30,3,0,NA,NA
"225",16,1,1,1,"1",2,1,27.33792,NA,NA,NA,NA,NA,NA
"226",16,1,1,1,"1",2,4,28.99079,4,30,3,0,0,TRUE
"227",16,1,1,2,"1",2,3,30.85793,3,6,6,0,NA,NA
"228",16,1,1,2,"1",2,1,30.86063,NA,NA,NA,NA,NA,NA
"229",16,1,1,2,"1",2,4,33.18944,3,6,6,0,0,TRUE
"230",16,1,1,3,"1",2,3,34.381,8,16,8,1,NA,NA
"231",16,1,1,3,"1",2,1,34.3842,NA,NA,NA,NA,NA,NA
"232",16,1,1,3,"1",2,4,36.434,8,16,8,1,1,TRUE
"233",16,1,1,4,"1",2,3,37.90403,2,1,2,1,NA,NA
"234",16,1,1,4,"1",2,1,37.90674,NA,NA,NA,NA,NA,NA
"235",16,1,1,4,"1",2,4,39.59369,2,1,2,1,1,TRUE
"236",16,1,1,5,"1",2,3,41.42716,5,25,5,1,NA,NA
"237",16,1,1,5,"1",2,1,41.43199,NA,NA,NA,NA,NA,NA
"238",16,1,1,5,"1",2,4,43.33558,5,25,5,1,0,FALSE
"239",16,1,1,6,"1",2,3,44.95024,6,2,4,0,NA,NA
"240",16,1,1,6,"1",2,1,44.9527,NA,NA,NA,NA,NA,NA
"241",16,1,1,6,"1",2,4,47.18972,6,2,4,0,0,TRUE
"242",16,1,2,NA,"1",1,1,52.07993,NA,NA,NA,NA,NA,NA
"243",16,1,2,NA,"1",1,2,54.55125,5,NA,NA,NA,NA,NA
"244",16,1,2,NA,"1",1,2,55.95428,2,NA,NA,NA,NA,NA
"245",16,1,2,NA,"1",1,2,58.54167,4,NA,NA,NA,NA,NA
"246",16,1,2,NA,"1",1,2,58.55945,3,NA,NA,NA,NA,NA
"247",16,1,2,NA,"1",1,2,61.68073,4,NA,NA,NA,NA,NA
"248",16,1,2,NA,"1",1,2,62.61572,3,NA,NA,NA,NA,NA
"249",16,1,2,NA,"1",1,2,63.818,4,NA,NA,NA,NA,NA
"250",16,1,2,NA,"1",1,2,65.50434,3,NA,NA,NA,NA,NA
"251",16,1,2,NA,"1",1,2,66.38962,4,NA,NA,NA,NA,NA
"252",16,1,2,NA,"1",1,2,67.32468,3,NA,NA,NA,NA,NA
"253",16,1,2,NA,"1",1,2,68.35984,1,NA,NA,NA,NA,NA
"254",16,1,2,NA,"1",1,2,69.16093,2,NA,NA,NA,NA,NA
"255",16,1,2,NA,"1",1,2,71.83266,6,NA,NA,NA,NA,NA
"256",16,1,2,NA,"1",1,2,71.84981,4,NA,NA,NA,NA,NA
"257",16,1,2,NA,"1",1,2,71.86581,3,NA,NA,NA,NA,NA
"258",16,1,2,NA,"1",1,1,72.09943,NA,NA,NA,NA,NA,NA
"259",16,1,2,NA,"1",2,1,72.60244,NA,NA,NA,NA,NA,NA
"260",16,1,2,1,"1",2,3,73.61886,4,11,4,1,NA,NA
"261",16,1,2,1,"1",2,1,73.62109,NA,NA,NA,NA,NA,NA
"262",16,1,2,1,"1",2,4,75.60527,4,11,4,1,0,FALSE
"263",16,1,2,2,"1",2,3,77.14203,1,24,8,0,NA,NA
"264",16,1,2,2,"1",2,1,77.14435,NA,NA,NA,NA,NA,NA
"265",16,1,2,2,"1",2,4,79.64665,1,24,8,0,NA,NA
"266",16,1,2,3,"1",2,3,80.66509,7,36,1,0,NA,NA
"267",16,1,2,3,"1",2,1,80.66746,NA,NA,NA,NA,NA,NA
"268",16,1,2,3,"1",2,4,82.11786,7,36,1,0,0,TRUE
"269",16,1,2,4,"1",2,3,84.18813,3,18,3,1,NA,NA
"270",16,1,2,4,"1",2,1,84.19049,NA,NA,NA,NA,NA,NA
"271",16,1,2,4,"1",2,4,85.92345,3,18,3,1,1,TRUE
"272",16,1,2,5,"1",2,3,87.71113,5,25,5,1,NA,NA
"273",16,1,2,5,"1",2,1,87.71339,NA,NA,NA,NA,NA,NA
"274",16,1,2,5,"1",2,4,89.47061,5,25,5,1,0,FALSE
"275",16,1,2,6,"1",2,3,91.23431,8,19,7,0,NA,NA
"276",16,1,2,6,"1",2,1,91.23682,NA,NA,NA,NA,NA,NA
"277",16,1,2,6,"1",2,4,93.74132,8,19,7,0,NA,NA
"278",16,1,3,NA,"1",1,1,98.36397,NA,NA,NA,NA,NA,NA
"279",16,1,3,NA,"1",1,2,99.69967,4,NA,NA,NA,NA,NA
"280",16,1,3,NA,"1",1,2,100.5346,3,NA,NA,NA,NA,NA
"281",16,1,3,NA,"1",1,2,101.7034,4,NA,NA,NA,NA,NA
"282",16,1,3,NA,"1",1,2,102.5716,3,NA,NA,NA,NA,NA
"283",16,1,3,NA,"1",1,2,103.6903,1,NA,NA,NA,NA,NA
"284",16,1,3,NA,"1",1,2,103.9575,4,NA,NA,NA,NA,NA
"285",16,1,3,NA,"1",1,2,103.9908,3,NA,NA,NA,NA,NA
"286",16,1,3,NA,"1",1,2,105.0261,2,NA,NA,NA,NA,NA
"287",16,1,3,NA,"1",1,2,105.9778,1,NA,NA,NA,NA,NA
"288",16,1,3,NA,"1",1,2,107.1132,2,NA,NA,NA,NA,NA
"289",16,1,3,NA,"1",1,2,108.8496,1,NA,NA,NA,NA,NA
"290",16,1,3,NA,"1",1,2,109.985,2,NA,NA,NA,NA,NA
"291",16,1,3,NA,"1",1,2,111.0703,4,NA,NA,NA,NA,NA
"292",16,1,3,NA,"1",1,2,112.4562,3,NA,NA,NA,NA,NA
"293",16,1,3,NA,"1",1,2,113.3245,6,NA,NA,NA,NA,NA
"294",16,1,3,NA,"1",1,2,114.4267,7,NA,NA,NA,NA,NA
"295",16,1,3,NA,"1",1,2,115.3782,6,NA,NA,NA,NA,NA
"296",16,1,3,NA,"1",1,2,116.2131,7,NA,NA,NA,NA,NA
"297",16,1,3,NA,"1",1,2,116.7807,4,NA,NA,NA,NA,NA
"298",16,1,3,NA,"1",1,2,117.315,3,NA,NA,NA,NA,NA
"299",16,1,3,NA,"1",1,1,118.3835,NA,NA,NA,NA,NA,NA
"300",16,1,3,NA,"1",2,1,118.8863,NA,NA,NA,NA,NA,NA
"301",16,1,3,1,"1",2,3,119.9029,6,4,1,0,NA,NA
"302",16,1,3,1,"1",2,1,119.9051,NA,NA,NA,NA,NA,NA
"303",16,1,3,1,"1",2,4,121.4881,6,4,1,0,0,TRUE
"304",16,1,3,2,"1",2,3,123.426,3,26,3,1,NA,NA
"305",16,1,3,2,"1",2,1,123.4282,NA,NA,NA,NA,NA,NA
"306",16,1,3,2,"1",2,4,125.0694,3,26,3,1,1,TRUE
"307",16,1,3,3,"1",2,3,126.949,8,24,8,1,NA,NA
"308",16,1,3,3,"1",2,1,126.9512,NA,NA,NA,NA,NA,NA
"309",16,1,3,3,"1",2,4,129.4242,8,24,8,1,0,FALSE
"310",16,1,3,4,"1",2,3,130.4722,4,10,6,0,NA,NA
"311",16,1,3,4,"1",2,1,130.4745,NA,NA,NA,NA,NA,NA
"312",16,1,3,4,"1",2,4,131.9988,4,10,6,0,1,FALSE
"313",16,1,3,5,"1",2,3,133.9952,5,33,5,1,NA,NA
"314",16,1,3,5,"1",2,1,133.9974,NA,NA,NA,NA,NA,NA
"315",16,1,3,5,"1",2,4,135.435,5,33,5,1,1,TRUE
"316",16,1,3,6,"1",2,3,137.5182,1,7,4,0,NA,NA
"317",16,1,3,6,"1",2,1,137.5204,NA,NA,NA,NA,NA,NA
"318",16,1,3,6,"1",2,4,139.3878,1,7,4,0,0,TRUE
"319",16,1,4,NA,"1",1,1,145.199,NA,NA,NA,NA,NA,NA
"320",16,1,4,NA,"1",1,2,146.7685,3,NA,NA,NA,NA,NA
"321",16,1,4,NA,"1",1,2,147.8037,3,NA,NA,NA,NA,NA
"322",16,1,4,NA,"1",1,2,147.904,3,NA,NA,NA,NA,NA
"323",16,1,4,NA,"1",1,2,149.4067,3,NA,NA,NA,NA,NA
"324",16,1,4,NA,"1",1,2,150.5754,3,NA,NA,NA,NA,NA
"325",16,1,4,NA,"1",1,2,150.6597,3,NA,NA,NA,NA,NA
"326",16,1,4,NA,"1",1,2,151.9947,3,NA,NA,NA,NA,NA
"327",16,1,4,NA,"1",1,2,153.1468,4,NA,NA,NA,NA,NA
"328",16,1,4,NA,"1",1,2,154.399,3,NA,NA,NA,NA,NA
"329",16,1,4,NA,"1",1,2,155.4676,4,NA,NA,NA,NA,NA
"330",16,1,4,NA,"1",1,2,156.9036,1,NA,NA,NA,NA,NA
"331",16,1,4,NA,"1",1,2,157.6717,2,NA,NA,NA,NA,NA
"332",16,1,4,NA,"1",1,2,158.423,1,NA,NA,NA,NA,NA
"333",16,1,4,NA,"1",1,2,159.4248,2,NA,NA,NA,NA,NA
"334",16,1,4,NA,"1",1,2,160.6604,3,NA,NA,NA,NA,NA
"335",16,1,4,NA,"1",1,2,161.3116,4,NA,NA,NA,NA,NA
"336",16,1,4,NA,"1",1,2,161.946,1,NA,NA,NA,NA,NA
"337",16,1,4,NA,"1",1,2,164.4339,2,NA,NA,NA,NA,NA
"338",16,1,4,NA,"1",1,1,165.2185,NA,NA,NA,NA,NA,NA
"339",16,1,4,NA,"1",2,1,165.7214,NA,NA,NA,NA,NA,NA
"340",16,1,4,1,"1",2,3,166.738,3,4,1,0,NA,NA
"341",16,1,4,1,"1",2,1,166.7402,NA,NA,NA,NA,NA,NA
"342",16,1,4,1,"1",2,4,168.2289,3,4,1,0,0,TRUE
"343",16,1,4,2,"1",2,3,170.2611,8,12,3,0,NA,NA
"344",16,1,4,2,"1",2,1,170.2633,NA,NA,NA,NA,NA,NA
"345",16,1,4,2,"1",2,4,172.7682,8,12,3,0,NA,NA
"346",16,1,4,3,"1",2,3,173.7841,1,8,8,0,NA,NA
"347",16,1,4,3,"1",2,1,173.7864,NA,NA,NA,NA,NA,NA
"348",16,1,4,3,"1",2,4,175.5829,1,8,8,0,0,TRUE
"349",16,1,4,4,"1",2,3,177.3072,7,35,7,1,NA,NA
"350",16,1,4,4,"1",2,1,177.3094,NA,NA,NA,NA,NA,NA
"351",16,1,4,4,"1",2,4,178.6969,7,35,7,1,1,TRUE
"352",16,1,4,5,"1",2,3,180.8303,6,10,6,1,NA,NA
"353",16,1,4,5,"1",2,1,180.8329,NA,NA,NA,NA,NA,NA
"354",16,1,4,5,"1",2,4,182.5555,6,10,6,1,0,FALSE
"355",16,1,4,6,"1",2,3,184.3533,5,38,5,1,NA,NA
"356",16,1,4,6,"1",2,1,184.3555,NA,NA,NA,NA,NA,NA
"357",16,1,4,6,"1",2,4,185.9341,5,38,5,1,1,TRUE
"358",16,1,5,NA,"1",1,1,191.55,NA,NA,NA,NA,NA,NA
"359",16,1,5,NA,"1",1,2,193.086,3,NA,NA,NA,NA,NA
"360",16,1,5,NA,"1",1,2,194.3549,4,NA,NA,NA,NA,NA
"361",16,1,5,NA,"1",1,2,195.3401,3,NA,NA,NA,NA,NA
"362",16,1,5,NA,"1",1,2,196.225,4,NA,NA,NA,NA,NA
"363",16,1,5,NA,"1",1,2,199.0635,3,NA,NA,NA,NA,NA
"364",16,1,5,NA,"1",1,2,199.415,4,NA,NA,NA,NA,NA
"365",16,1,5,NA,"1",1,2,200.1821,4,NA,NA,NA,NA,NA
"366",16,1,5,NA,"1",1,2,201.2174,3,NA,NA,NA,NA,NA
"367",16,1,5,NA,"1",1,2,202.5865,2,NA,NA,NA,NA,NA
"368",16,1,5,NA,"1",1,2,203.2043,1,NA,NA,NA,NA,NA
"369",16,1,5,NA,"1",1,2,204.0392,2,NA,NA,NA,NA,NA
"370",16,1,5,NA,"1",1,2,204.3398,1,NA,NA,NA,NA,NA
"371",16,1,5,NA,"1",1,2,204.6571,4,NA,NA,NA,NA,NA
"372",16,1,5,NA,"1",1,2,204.7411,3,NA,NA,NA,NA,NA
"373",16,1,5,NA,"1",1,2,205.4751,3,NA,NA,NA,NA,NA
"374",16,1,5,NA,"1",1,2,205.8264,4,NA,NA,NA,NA,NA
"375",16,1,5,NA,"1",1,2,206.261,2,NA,NA,NA,NA,NA
"376",16,1,5,NA,"1",1,2,206.5276,1,NA,NA,NA,NA,NA
"377",16,1,5,NA,"1",1,2,207.6124,7,NA,NA,NA,NA,NA
"378",16,1,5,NA,"1",1,2,208.4475,6,NA,NA,NA,NA,NA
"379",16,1,5,NA,"1",1,2,209.5993,7,NA,NA,NA,NA,NA
"380",16,1,5,NA,"1",1,2,210.3841,6,NA,NA,NA,NA,NA
